TimeStamp,PodName,ContainerName,CPUsUsage(M),MemoryUsage(Ki)
1705103070.486726,hydraa-pod-000003,ctask-2,250113276n,6148Ki
1705103070.4867277,hydraa-pod-000004,ctask-3,250176948n,6136Ki
1705103071.5028272,hydraa-pod-000003,ctask-2,250113276n,6148Ki
1705103071.5028296,hydraa-pod-000004,ctask-3,250176948n,6136Ki
1705103072.5175283,hydraa-pod-000003,ctask-2,250113276n,6148Ki
1705103072.51753,hydraa-pod-000004,ctask-3,250176948n,6136Ki
1705103073.5328965,hydraa-pod-000003,ctask-2,250113276n,6148Ki
1705103073.5328991,hydraa-pod-000004,ctask-3,250176948n,6136Ki
1705103074.5556507,hydraa-pod-000003,ctask-2,250113276n,6148Ki
1705103074.5556521,hydraa-pod-000004,ctask-3,250176948n,6136Ki
1705103075.5787597,hydraa-pod-000003,ctask-2,250113276n,6148Ki
1705103075.578761,hydraa-pod-000004,ctask-3,250176948n,6136Ki
1705103076.5933115,hydraa-pod-000003,ctask-2,250113276n,6148Ki
1705103076.5933135,hydraa-pod-000004,ctask-3,250176948n,6136Ki
1705103077.6076858,hydraa-pod-000003,ctask-2,250113276n,6148Ki
1705103077.6076877,hydraa-pod-000004,ctask-3,250176948n,6136Ki
1705103078.6227145,hydraa-pod-000003,ctask-2,250113276n,6148Ki
1705103078.6227174,hydraa-pod-000004,ctask-3,250176948n,6136Ki
1705103079.6389031,hydraa-pod-000003,ctask-2,250113276n,6148Ki
1705103079.6389058,hydraa-pod-000004,ctask-3,250176948n,6136Ki
1705103080.6542528,hydraa-pod-000003,ctask-2,250113276n,6148Ki
1705103080.6542554,hydraa-pod-000004,ctask-3,250176948n,6136Ki
1705103081.6679626,hydraa-pod-000003,ctask-2,250113276n,6148Ki
1705103081.6679647,hydraa-pod-000004,ctask-3,250176948n,6136Ki
1705103082.6832283,hydraa-pod-000003,ctask-2,250113276n,6148Ki
1705103082.6832294,hydraa-pod-000004,ctask-3,250176948n,6136Ki
1705103083.6982985,hydraa-pod-000003,ctask-2,250113276n,6148Ki
1705103083.6983008,hydraa-pod-000004,ctask-3,250176948n,6136Ki
1705103084.714927,hydraa-pod-000003,ctask-2,249146286n,6148Ki
1705103084.7149282,hydraa-pod-000004,ctask-3,250709530n,6136Ki
1705103085.7297034,hydraa-pod-000003,ctask-2,249146286n,6148Ki
1705103085.7297049,hydraa-pod-000004,ctask-3,250709530n,6136Ki
1705103086.744169,hydraa-pod-000003,ctask-2,249146286n,6148Ki
1705103086.7441716,hydraa-pod-000004,ctask-3,250709530n,6136Ki
